,0,1,2,3,4,5,6,Avaliação,Nome,Ranking,7,8
117,,,"Av. Nassim Jabur, 145 - Jardim dos Alpes, Londrina - PR, 86025-190","PR4P+XR Jardim dos Alpes, Londrina - PR",inoxlondrina.com.br,(43) 3339-5315,Reivindicar esta empresa,(2),Inox Londrina-Comércio de Metais,"3,0",,
118,,,"Av. Arcebispo Dom Geraldo Fernandes, 2230 - Centro, Londrina - PR, 86026-730","MRXM+6C Centro, Londrina - PR",facebook.com,(43) 3347-0003,,(5),Lotus Materiais para Borracharia,"5,0",,
119,,,"Av. Gabriel Freceiro de Miranda, 1063, Cambé - PR, 86185-000","PQ57+36 Cambé, PR",(43) 3154-9728,Adicionar website,,(79),Deposito Menezes,"4,5",,
120,,"R. Bahia, 534 - Centro, Londrina - PR, 86025-010","MRWQ+VC Centro, Londrina - PR",londrinatintas.com.br,(43) 3344-0912,Gerenciar esta ficha,,,TINTAS LONDRINA,,,
121,,"R. Belo Horizonte, 305 - Centro, Londrina - PR, 86020-060","MRVM+78 Centro, Londrina - PR",aiyellow.com,(43) 3344-6100,,,,Multi-Itens,,,
122,,"Av. Arcebispo Dom Geraldo Fernandes, 2511 - Centro, Londrina - PR, 86010-360","MRXJ+8G Centro, Londrina - PR",(43) 3025-4929,Reivindicar esta empresa,Adicionar horário,Adicionar website,,Arte & Cor Tintas,,,
123,,,"R. Quintino Bocaiúva, 1196 - Centro, Londrina - PR, 86020-150","MRWH+R7 Centro, Londrina - PR",superamarelas.com,(43) 3326-2087,Reivindicar esta empresa,(1),MARANDOLA TINTAS,"5,0",Adicionar horário,
124,,,"R. Araguaia, 250 - Vl Nova, Londrina - PR, 86025-720","PR2J+FF Jardim Oguido, Londrina - PR",jcparafusos.vitrinevirtual.net,(43) 3356-2446,Reivindicar esta empresa,(1),JC Parafusos,"3,0",,
125,,,"R. Quiri, 122 - Jd Sta Rita, Londrina - PR, 86071-480","PR62+VH Santa Rita I, Londrina - PR",massaprontasantarita.com.br,(43) 3338-5313,,(23),Santa Rita - Depósito e Massa Pronta em Londrina,"4,6",,
126,,,"Av. Dez de Dezembro, 800 - Vila Casoni, Londrina - PR, 86026-220","MVX3+PP Vila Casoni, Londrina - PR",franportas.com.br,(43) 3336-6313,,(75),Fran Portas e Janelas,"3,7",,
127,,,"Av. São João, 57 - Brasília, Londrina - PR, 86089-050","MVM3+57 Brasília, Londrina - PR",gessomax.com,(43) 3338-0018,,(1),Gessomax Comércio de Gesso LTDA-ME,"4,0",,
128,,"R. São Vicente, 1461 - Jardim Palmares, Londrina - PR, 86025-040","PR4Q+6R Jardim Palmares, Londrina - PR",sintecolondrina.com.br,(43) 99102-8588,Reivindicar esta empresa,,,SINTECO LONDRINA / LIXAMENTO TACO - ASSOALHO - APLICAÇÃO SINTECO - RESTAURAÇÃO PISO MADEIRA,,,
129,,"R. Araguaia, 264 - SL 2 - Jardim Agari, Londrina - PR, 86025-720","PR2M+6W Jardim Agari, Londrina - PR",rpmtintas.com,(43) 3029-0580,,,,RPM TINTAS,,,
130,,"estr MAJ Achilles P Ferreira - Km 05, PR",(43) 3336-1076,Reivindicar esta empresa,Adicionar horário,Adicionar website,,,Master Revestimento De Madeira,,,
131,,"R. Guaporé, 618 - Vila Nova, Londrina - PR, 86025-000","MRXP+4X Vila Nova, Londrina - PR",(43) 3343-3333,Reivindicar esta empresa,Adicionar website,,,Mundial Tintas,,,
132,,,"R. Rio Paraná, 286 - Jardim Sao Paulo, Cambé - PR, 86185-300","PP3X+38 Jardim Sao Paulo, Cambé - PR",dickasa.com.br,(43) 3154-2900,,(2),Dickasa Ferragens e Construção,"5,0",,
133,,,"Av. Dez de Dezembro, 7670 - JARDIM IGAPO, Londrina - PR, 86046-140","JRRX+QH Inglaterra, Londrina - PR",romaniconstrucao.com.br,(43) 3341-5688,,(280),DEPÓSITO ROMANI,"4,5",,
134,,,"R. Pôrto Alegre, 653 - Jardim Agari, Londrina - PR, 86020-160","MRWJ+HP Jardim Agari, Londrina - PR",(43) 3028-3434,Adicionar website,,(66),Ferramentas Londrina,"4,7",,
135,,,"R. Araguaia, 250 - Jardim Agari, Londrina - PR, 86025-720","PR2M+4W Jardim Agari, Londrina - PR",vitrinevirtual.net,(43) 3324-0024,Reivindicar esta empresa,(2),Parafusos Londrina,"5,0",,
136,,,"Av Esperança, 2730 - Jardim Bela Suiça, Cambé - PR, 86186-260","MQW2+XJ Jardim Bela Itália, Cambé - PR",depositobrasilsul.com.br,(43) 3254-1740,Gerenciar esta ficha,(7),Depósito Brasil Sul,"4,9",,
137,,"Rua Iguaçu, 135 - Jardim Palmares, Londrina - PR, 86025-430","PR2M+JH Jardim Palmares, Londrina - PR",(43) 3334-1880,Reivindicar esta empresa,Adicionar website,,,Pa Ubá Artefatos de Madeira,,,
138,,,"Av. Maringá, 2345 - Vitoria, Londrina - PR, 86060-180","MRGF+VJ Vitoria, Londrina - PR",kiantapetes.com.br,(43) 3025-6959,Gerenciar esta ficha,(1),Kian Arte em Tapetes - Londrina,"5,0",,
139,,,"Av. Santos Dumont, 502 - Bairro Aeroporto, Londrina - PR, 86089-050","MVJ3+92 Bairro Aeroporto, Londrina - PR",pisoslaminadosemlondrina.blogspot.com,(43) 99992-1802,,(3),Pisos Laminados Londrina,"5,0",,
140,,,"R. Bahia, 534 - Jardim Palmares, Londrina - PR, 86025-010","MRWQ+VC Jardim Palmares, Londrina - PR",vernizantichamalondrina.com,(43) 3344-0912,,(1),Verniz Antichama Londrina,"5,0",,
141,,"R. Teresina, 159 - Vila Shima Bokuro, Londrina - PR, 86020-250","MRWJ+F5 Vila Shima Bokuro, Londrina - PR",(43) 99103-6020,Reivindicar esta empresa,Adicionar horário,Adicionar website,,Metalúrgica e Serralheria Souza'rte,,,
142,,,"R. Belo Horizonte, 337 - Centro, Londrina - PR, 86020-060","MRVM+4C Centro, Londrina - PR",facebook.com,(43) 3025-4200,,(4),Horizonte Tintas Londrina,"3,0",,
143,,,"R. Guaporé, 739 - Jardim Palmares, Londrina - PR, 86025-000","MRXP+HR Jardim Palmares, Londrina - PR",(43) 3334-0557,Adicionar website,,(40),Pisolon,"4,0",,
144,,,"R. Rio Grande do Norte, 941 - Centro, Londrina - PR, 86026-490","MRVR+8P Centro, Londrina - PR",compenfort.com.br,(43) 3324-0123,,(28),Compenfort,"4,6",,
145,,,"R. Mossoró, 431 - Centro, Londrina - PR, 86020-290","MRVJ+8V Centro, Londrina - PR",negocio.site,(43) 3024-4508,,(15),Viva Cor Tintas Londrina,"4,7",,
146,,,"R. Minas Gerais, 194 - sala 207 - Centro, Londrina - PR, 86010-170","MRRR+3W Centro, Londrina - PR",bit.ly,(43) 3323-0693,,(14),Londokap sua Kapazi em Londrina,"4,7",,
147,,,"R. Quintino Bocaiúva, 533 - Centro, Londrina - PR, 86020-150","MRVM+64 Centro, Londrina - PR",superamarelas.com,(43) 3028-0994,Reivindicar esta empresa,(36),Casa das Tintas,"4,5",,
148,,"Av. Tiradentes, 929 - Jardim Shangri-Lá A, Londrina - PR, 86070-545","MRX8+HX Jardim Shangri-Lá A, Londrina - PR",jbritomadeiras.com.br,(43) 3328-4414,Reivindicar esta empresa,Adicionar horário,,J Brito Madeiras,,,
149,,,"R. Sen. Souza Naves - Centro, Londrina - PR, 86010-921","MRPR+3X Centro, Londrina - PR",sintecolondrina.blogspot.com,(43) 3326-6873,,(6),Sinteco Londrina,"5,0",,
150,,,"R. Guaporé, 304 - Centro, Londrina - PR, 86026-010","MRVP+XW Centro, Londrina - PR",apalvorada.com.br,(43) 3337-5700,,(14),Alvorada Tintas Automotivas - Londrina,"4,4",,
151,,,"Av. Duque de Caxias, 2871 - Centro, Londrina - PR, 86010-190","MRMV+5V Centro, Londrina - PR",tintasdarka.com.br,(43) 3325-9000,Gerenciar esta ficha,(72),Tintas Darka - Duque - Londrina,"4,6",,
152,,"R. Tietê, 1240 - Jardim Tabapua, Londrina - PR, 86025-230","PR3R+X4 Jardim Tabapua, Londrina - PR",(43) 3024-2841,Reivindicar esta empresa,Adicionar horário,Adicionar website,,Serralheria Tietê,,,
153,,"R. Quintino Bocaiúva, 1183 - Centro, Londrina - PR, 86020-150","MRWH+Q7 Centro, Londrina - PR",(43) 3324-4675,Reivindicar esta empresa,Adicionar horário,Adicionar website,,Serralheria Portaco,,,
154,,,"Nº 1106 - Av. Tiradentes - Jardim Shangri-Lá A, Londrina - PR, 86070-545","MRX8+R9 Jardim Shangri-Lá A, Londrina - PR",casadoconstrutor.com.br,(43) 3357-3355,Gerenciar esta ficha,(36),Casa Do Construtor Londrina,"4,0",,
155,,"R. Quintino Bocaiúva, 846 - Centro, Londrina - PR, 86020-150","MRWJ+5C Centro, Londrina - PR",uirapurutelhacor.com.br,Reivindicar esta empresa,Adicionar número de telefone,,,Telhacor Tintas,,,
156,,,"Av. Nassim Jabur, 145 - Paulista, Londrina - PR, 86025-200","PR4P+XR Paulista, Londrina - PR",inoxlondrina.com.br,(43) 3329-9007,,(5),Inox Londrina,"4,0",,
157,,,"Av. Arcebispo Dom Geraldo Fernandes, 2777 - Loja 03 - Jardim Agari, Londrina - PR, 86020-145","MRXH+HJ Jardim Agari, Londrina - PR",stilloacabamentos.com.br,(43) 3029-8585,,(7),Stillo Acabamentos,"4,9",,
158,,,"R. Bahia, 534 - Jardim Palmares, Londrina - PR, 86025-010","MRWQ+VC Jardim Palmares, Londrina - PR",sintecadoralondrina.com,(43) 3344-0912,,(2),Synteko & Tintas,"5,0",,
159,,,"R. Guaporé, 1415 - Centro, Londrina - PR, 86020-000","PR4P+2Q Centro, Londrina - PR",jkparafusos.com,(43) 3334-2600,,(10),Jk Distribuidora de Parafusos e Borrachas,"4,6",,
160,,,"R. Quintino Bocaiúva, 922 - Centro, Londrina - PR, 86020-150","MRWJ+75 Centro, Londrina - PR",tintasdarka.com.br,(43) 3322-2224,Gerenciar esta ficha,(90),Tintas Darka - Quintino - Londrina,"4,4",,
161,,,"Av. Dez de Dezembro, 1550 - Centro, Londrina - PR, 86026-220","MVV2+4P Centro, Londrina - PR",(43) 99935-5544,Adicionar website,,(2),Barroso Concertina | Concertina Londrina e Região,"5,0",,
162,,,"Av. Maringá, 1299 - Vitoria, Londrina - PR, 86061-560","MRPF+P3 Vitoria, Londrina - PR",(43) 3327-7000,Adicionar website,,(12),Miyazaki Tintas,"4,8",,
163,,,"R. Mossoró, 346 - Centro, Londrina - PR, 86020-290","MRVM+94 Centro, Londrina - PR",facebook.com,(43) 3323-2070,,(41),JVC Comércio de Tintas Ltda,"4,8",,
164,,,"R. Dolores Peralta, 20 - Parque Waldemar Hauer, Londrina - PR, 86030-270","PV46+M7 Ideal, Londrina - PR",pisospassarela.com.br,(43) 3339-6013,,(13),Pisos Passarela,"4,4",,
165,,,"R. Belo Horizonte, 422 - Centro, Londrina - PR, 86020-060","MRRM+R7 Centro, Londrina - PR",vitrinevirtual.net,(43) 3321-1628,Reivindicar esta empresa,(2),Lord Master Chaveiro,"3,5",,
166,,,"Av. Tiradentes, 330 - Jardim Shangri-Lá A, Londrina - PR, 86070-000","MRXF+C7 Jardim Shangri-Lá A, Londrina - PR",(43) 3327-2020,Reivindicar esta empresa,Adicionar website,(21),Maglon Motoserras Autorizada Stihl,"4,2",,
167,,,"R. João Pessoa, 119 - Jardim Agari, Londrina - PR, 86020-220","MRXH+6C Jardim Agari, Londrina - PR",mozzamaq.com.br,(43) 3028-2028,,(3),Angelo Mozzaquatro,"5,0",,
168,,,"Av. Arcebispo Dom Geraldo Fernandes, 2475 - Jardim Agari, Londrina - PR, 86020-145","MRXJ+7J Jardim Agari, Londrina - PR",lojaintegrada.com.br,(43) 3325-3217,,(3),Casa das Cubas,"4,3",,
169,,,"R. Manaus, 51 - Centro, Londrina - PR, 86020-560","MRWJ+3P Centro, Londrina - PR",ziliz.com.br,(43) 3329-2120,,(25),Ziliz,"4,7",,
170,,,"R. Tietê, 1724 - Jardim Tabapua, Londrina - PR, 86026-490","PR3H+WG Jardim Tabapua, Londrina - PR",emporiovidraceiro.com.br,(43) 3329-3636,,(42),Empório do Vidraceiro,"4,8",,
171,,,"Av. Brasília, 8600 - Gleba Lindóia, Londrina - PR, 86031-770","PV4Q+C3 Gleba Lindóia, Londrina - PR",teixeiramarques.com.br,(43) 3375-4600,,(1),Teixeira Marques Comercial,"3,0",,
172,,,"R. Araguaia, 713 - Jardim Agari, Londrina - PR, 86025-720","PR2J+F4 Jardim Agari, Londrina - PR",vitrinevirtual.net,(43) 3339-4249,,(135),Zama Ferramentas e Artigos para Posto e Borracharia,"4,6",,
173,,,"R. Benjamin Constant, 1485 - Centro, Londrina - PR, 86020-320","MRRP+F2 Centro, Londrina - PR",(43) 3323-0474,Reivindicar esta empresa,Adicionar website,(5),Mercado das Tintas,"4,6",,
174,,,"R. Rio Paraná, 286 - Jardim Sao Paulo, Cambé - PR, 86185-300","PP3X+38 Jardim Sao Paulo, Cambé - PR",dickasa.com.br,(43) 3154-2900,,(2),Dickasa Ferragens e Construção,"5,0",,
175,,,"Av. Saul Elkind, 731 - Conj. Semiramis Barros Braga, Londrina - PR, 86085-000","PVR4+G7 Conj. Semiramis Barros Braga, Londrina - PR",depositoalvorada.com.br,(43) 3373-4686,,(150),Depósito Alvorada - Materiais de Construção,"4,5",,
176,,,"R. Guaporé, 368 - Centro, Londrina - PR, 86026-010","MRWP+8W Centro, Londrina - PR",guaporetintas.com.br,(43) 3324-9299,,(176),Guaporé Tintas,"4,7",,
177,,,"Av. Tiradentes, 386 - Jardim Shangri-Lá A, Londrina - PR, 86070-545","MRXF+F4 Jardim Shangri-Lá A, Londrina - PR",visoar.com.br,(43) 3025-6595,Gerenciar esta ficha,(10),Visoar Refrigeração e Ar Condicionado,"3,8",,
178,,,"Av. Winston Churchil, 533 - Andes, Londrina - PR, 86061-250","PR7G+5P Andes, Londrina - PR",alambradosbrasil.com.br,(43) 3347-0202,,(32),Telas e Alambrados Brasil Londrina,"4,6",,
179,,,"233, Av. Célso García Cid, 217 - Centro, Londrina - PR","MRPV+VM Centro, Londrina - PR",dismafeferramentas.com.br,Reivindicar esta empresa,Adicionar número de telefone,(18),Duque ferramentas,"4,6",,
180,,,"Av. Célso García Cid, 287 - Centro, Londrina - PR, 86010-490","MRPV+RV Centro, Londrina - PR",(43) 3323-3423,Adicionar website,,(28),CBF FERRAMENTAS LTDA,"4,6",,
181,,,"R. Fernando de Noronha, 67 - Centro, Londrina - PR, 86020-300","MRRP+VM Centro, Londrina - PR",(43) 3323-6715,Adicionar website,,(9),Mercadão das Tintas,"4,8",,
182,,,"Rua Brasil, 88 Esquina Com, R. Sergipe - Centro, Londrina - PR, 86010-200","MRRW+2C Centro, Londrina - PR",(43) 3344-3200,Adicionar website,,(39),Girotec Assistência Técnica de Ferramentas Elétricas,"4,3",,
183,,,"Av. Tiradentes, 330 - Jardim Shangri-Lá A, Londrina - PR, 86070-545","MRXF+C8 Jardim Shangri-Lá A, Londrina - PR",(43) 3327-0771,Reivindicar esta empresa,Adicionar website,(1),Maglon Motosserras Autorizada Motor Honda,"5,0",,
184,,,"R. Piquiri, 90 - Vila Balarotti, Londrina - PR, 86025-340","MRXQ+F6 Vila Balarotti, Londrina - PR",box-hbv.negocio.site,(43) 3325-1171,,(32),Box Hbv - Fiel Vidros - Vidraçaria em Londrina,"4,3",,
185,,,"R. Araguaia, 750 - Vila Nova, Londrina - PR, 86025-720","PR2J+J3 Vila Nova, Londrina - PR",(43) 3329-0198,Reivindicar esta empresa,Adicionar website,(6),Fox Tintas,"4,5",,
186,,,"Av. Duque de Caxias, 3659 - Portuguesa, Londrina - PR, 86071-280","MRQV+XV Portuguesa, Londrina - PR",dafelferramentas.com.br,(43) 3321-3044,,(36),Dafel Ferramentas,"4,8",,
187,,,"R. Araguaia, 815 - Agari, Londrina - PR, 86025-720","PR2H+CR Agari, Londrina - PR",(43) 3329-3157,Adicionar website,,(34),Box Vidraçaria Araguaia,"3,8",,
188,,,"Av. Arcebispo Dom Geraldo Fernandes, 2555 - Leste Oeste, Londrina - PR, 86072-070","MRXJ+97 Leste Oeste, Londrina - PR",depositosaomarcos.com.br,(43) 3376-1600,Reivindicar esta empresa,(8),deposito sao marcos,"4,4",,
189,,,"Av. Tiradentes, 334 - Shangri-lá, Londrina - PR, 86070-545","MRXF+C8 Shangri-lá, Londrina - PR",brasolda.com.br,(43) 3373-2870,,(122),Brasolda - O Mundo das Ferramentas,"4,5",,
190,,,"Av. Saul Elkind, 233 - Jacutinga, Londrina - PR, 86086-000","PVR6+F2 Jacutinga, Londrina - PR",facebook.com,(43) 3326-1757,,(5),ServLar Tintas e Utilidades,"4,8",,
191,,,"R. Quintino Bocaiúva, 1004 - Centro, Londrina - PR, 86020-150","MRWH+FW Centro, Londrina - PR",macripar.com.br,(43) 3324-0008,Gerenciar esta ficha,(299),Macripar Parafusos & Ferramentas,"4,6",,
192,,,"R. Guaporé, 363 - Vl Nova, Londrina - PR, 86026-010","MRWP+7V Vila Nova, Londrina - PR",ropel.com.br,(43) 3305-1500,,(235),ROPEL MÁQUINAS E FERRAMENTAS,"4,6",,
193,,,"R. Manaus, 51 - Jardim Agari, Londrina - PR, 86020-560","MRWJ+5P Jardim Agari, Londrina - PR",ziliz.com.br,(43) 3329-2120,,(38),Craf Ziliz - Máquinas e Ferramentas,"4,5",,
194,,,"R. Quintino Bocaiúva, 893 - Centro, Londrina - PR, 86020-150","MRWJ+45 Centro, Londrina - PR",bonfimtintas.com.br,(43) 3347-8080,Gerenciar esta ficha,(54),Bonfim Tintas,"4,7",,
195,,,"R. Quintino Bocaiúva, 800 - Centro, Londrina - PR, 86020-150",,"MRWJ+2H Centro, Londrina - PR",(43) 3324-7913,Reivindicar esta empresa,(15),Macri & Macri,"4,4",Adicionar horário,Adicionar website
196,,,"Av. Higienópolis, 1246 - Guanabara, Londrina - PR, 86050-170","MRHM+Q7 Guanabara, Londrina - PR",depositolondrina.com.br,(43) 3315-9800,,(31),Depósito Londrina,"4,4",,
197,,"Av. Brasília, 1401 - Rodocentro, Londrina - PR, 86070-020","PR4H+RF Rodocentro, Londrina - PR",(43) 3327-3434,Reivindicar esta empresa,Adicionar website,,,Ferro Velho República da Sucata,,,
198,,,"Av. Maringá, 528 - Vitoria, Londrina - PR, 86060-000","MRVC+FG Vitoria, Londrina - PR",inoxlon.com.br,(43) 3336-4478,,(22),Inoxlon,"4,6",,
199,,,"Av. São Paulo, 94 - Centro, Londrina - PR, 86010-060","MRRQ+5R Centro, Londrina - PR",facebook.com,(43) 3020-3737,,(19),Z Casa & Cozinha,"4,5",,
200,,,"R. Guaporé, 721 - Jardim Palmares, Londrina - PR, 86025-000","MRXP+HR Jardim Palmares, Londrina - PR",megaandaime.com.br,(43) 3029-3088,,(10),Mega Andaimes,"4,5",,
201,,,"Av. Winston Churchil, 1360 - Coliseu, Londrina - PR, 86080-120","PR9G+RW Coliseu, Londrina - PR",(43) 3301-6002,Adicionar horário,Adicionar website,(11),Madeireira Casa Verde,"3,2",,
202,,,"Av. Dez de Dezembro, 7355 - Lago Igapó, Londrina - PR, 86046-140","JVV2+42 Parque das Industrias - Quilometro Nove, Londrina - PR",construlon.com.br,(43) 3341-0580,,(16),"CONSTRULON LOCAÇÕES: Aluguel / Locação de Betoneiras, Andaimes, Maquinas e Equipamentos.","4,4",,
203,,,"Av. Waldemar Spranger, 1235 - Tucano, Londrina - PR, 86047-300","MR3M+Q8 Tucano, Londrina - PR",bunkerlocacoes.com.br,(43) 3328-0010,,(3),"BUNKER - LOCAÇÃO CONTAINER LONDRINA, obras, reformas, industrias, eventos","5,0",,
204,,(43) 99912-8154,Adicionar website,,,,,,RP Bealta Representações Comerciais,,,
205,,,londrinatintas.com.br,(43) 3322-1000,Gerenciar esta ficha,,,(5),LONDRINA TINTAS Lojas de Tintas Texturas e Grafiatos em Londrina,"4,6",,
