,0,1,2,3,4,5,6,Avaliação,Nome,Ranking,7,8
22,,,"Av. Europa, 962 - Jd Piza, Londrina - PR, 86041-000","JVW6+FV Parque Res. Joao Piza, Londrina - PR",depositoroseira.com,(43) 3341-4222,,(235),Depósito Roseira - Construção e Acabamentos,"4,7",,
23,,,"Av. Interventor Manoel Ribas, 736 - Centro, Rolândia - PR, 86600-137","MJRM+7V Centro, Rolândia - PR",pt-br.facebook.com,(43) 3256-2379,,(14),Bremen Tintas,"4,5",,
24,,"Av. Maringá, 1615 - Vitoria, Londrina - PR, 86061-560","MRMF+H6 Vitoria, Londrina - PR",(43) 3025-6738,Reivindicar esta empresa,Adicionar horário,Adicionar website,,Roschel Materiais de Construção,,,
25,,,"Av. Aracy Soares Santos, 127 - Jd Santiago, Londrina - PR, 86071-790","PR84+V4 Leonor, Londrina - PR",(43) 3328-3603,Reivindicar esta empresa,Adicionar website,(1),Lajomad Comércio de Lajotas Madeiras e Materiais para Construção Ltda,"3,0",,
26,,,"Av. Salgado Filho, 174 - Califórnia, Londrina - PR, 86040-000","MVC4+8H Califórnia, Londrina - PR",(43) 3337-0202,Reivindicar esta empresa,Adicionar website,(64),Cunha e Castro - Materiais de Construção,"4,5",,
27,,"R. Lázaro Zamenhof, 450 - Jd San Fernando, Londrina - PR, 86040-350","MV67+76 Califórnia, Londrina - PR",(43) 3326-8416,Reivindicar esta empresa,Adicionar horário,Adicionar website,,Tend Casa Materiais para Construção,,,
28,,,"R. Madressilva, 461 - Parque das Industrias, Londrina - PR, 86042-270","JVH6+V6 Parque das Industrias - Quilometro Nove, Londrina - PR",(43) 3342-7005,Adicionar website,,(12),Depósito Itasa Materiais para Construção,"4,3",,
29,,,"R. Mitomu Simamura, 406 - Parque das Industrias, Londrina - PR, 86043-030","JVJ8+X7 Parque das Industrias - Quilometro Nove, Londrina - PR",(43) 3373-7100,Reivindicar esta empresa,Adicionar website,(5),Deposito Sanderson 1,"4,8",,
30,,"Av. Europa, 57 - Parque Res. Joao Piza, Londrina - PR, 86041-000","JVW6+JR Parque Res. Joao Piza, Londrina - PR",(43) 3341-7336,Reivindicar esta empresa,Adicionar website,,,Depósito Pizza Materiais para Construção,,,
31,,,"Av. Waldemar Spranger, 1100 - Vale do Reno, Londrina - PR, 86047-285","MR4M+7X Vale do Reno, Londrina - PR",negocio.site,(43) 3343-3434,,(42),Parceiros da Construção - Casa & Acabamentos,"4,6",,
32,,,"R. São Vicente, 1603 - Jardim Palmares, Londrina - PR, 86025-040","PR4Q+PQ Jardim Palmares, Londrina - PR",(43) 3329-0557,Reivindicar esta empresa,Adicionar website,(7),COFERLON-Comercial de Ferragens Londrina,"4,4",,
33,,,"Av. Tiradentes, 929 - Jardim Shangri-Lá A, Londrina - PR, 86070-545","MRX8+HX Jardim Shangri-Lá A, Londrina - PR",(43) 3378-0800,Reivindicar esta empresa,Adicionar horário,(8),Globo Pisos,"3,9",Adicionar website,
34,,,"Comtipo João , S , Av 2633, Londrina - PR, 86036-030","MVJF+G9 Antares, Londrina - PR",(43) 3325-4311,Reivindicar esta empresa,Adicionar website,(1),Duk Mellos Materiais Construção,"5,0",,
35,,,"Av. Salgado Filho, 400 - Jd Califórnia, Londrina - PR, 86040-000","MV95+P6 Califórnia, Londrina - PR",(43) 3325-7997,Adicionar website,,(44),Depósito Califórnia - Materiais de Construção,"4,2",,
36,,,"Av. Francisco Gabriel Arruda, 1158 - Cj - Parigot De Souza, Londrina - PR, 86081-000","PRPF+4W Parigot De Souza, Londrina - PR",casagrandedeposito.com.br,(43) 3347-1000,,(118),Depósito Casa Grande - Materiais para Construção,"4,5",,
37,,,"Av. Sylvio Barros, 75 - Pacaembu, Londrina - PR, 86078-020","PR9W+9J Pacaembu, Londrina - PR",(43) 3334-1533,Reivindicar esta empresa,Adicionar horário,(4),Depósito Lucas Materiais de Construção,"4,8",Adicionar website,
38,,,"Av. Café Rubiácea, 1705 - Prq Res do Café, Londrina - PR, 86081-280","PRP8+VH Conj. Parigot de Souza 3, Londrina - PR",(43) 3347-2192,Adicionar website,,(35),Bispo's-Materiais de Construção,"4,7",,
39,,,"R. Belo Horizonte, 477 - Centro, Londrina - PR, 86020-060","MRRM+J9 Centro, Londrina - PR",casaacabamentos.com.br,(43) 3324-5133,,(52),Casa Acabamentos,"4,5",,
40,,,"Av. Inglaterra, 111 - Igapó, Londrina - PR, 86046-000","MV53+X5 Igapó, Londrina - PR",principecec.com.br,(43) 3341-3969,,(202),Príncipe - Casa e Construção,"4,5",,
41,,,"Av. Chepli Tanus Daher, 105 - Jardim Acapulco, Londrina - PR, 86045-000","JRRV+4J Jardim Acapulco, Londrina - PR",(43) 3341-5455,Reivindicar esta empresa,Adicionar horário,(17),Depósito de Materiais de Construção Buba,"4,5",Adicionar website,
