,Nome,Avaliação,Endereço,Website,Rede Social
51,Depósito Betel - Materiais de Construção e Madeireira,(91),"Av. Saul Elkind, 3095 - Jardim das Palmeiras, Londrina - PR, 86082-000",,
53,Central Norte e Concrevith Materiais para construção,(1),"Av. da Liberdade, 52 - Carnascialli, Londrina - PR, 86077-080",,
54,DEPOSITO MARINGA,(115),"Av. Maringá, 1765 - Vitoria, Londrina - PR, 86060-000",3327-4545,
55,Depósito Mônaco e Ferragens,(20),"Av. Aracy Soares Santos, 196 - Jd Santiago, Londrina - PR, 86071-790",(43) 3338-1130,
56,Depósito Baratão,(54),"Av. Saul Elkind, 4005 - Estados, Londrina - PR, 86082-000",,
57,Depósito SURIAN,(82),"Av. José Del Ciel Filho, 662 - Jardim Imagawa, Londrina - PR, 86080-780",,
58,Depósito Colibri Materiais para Construção,(102),"Av. Francisco Gabriel Arruda, 536 - Cj Parigot de Souza, Londrina - PR, 86081-000",(43) 3338-2562,
59,Depósito Dois Irmãos Materiais para Construção,(4),"Av. Winston Churchil, 1483 - Prq Ouro Verde, Londrina - PR, 86080-120",,
61,JML Acabamentos,(8),"Av. Tiradentes, 1120 - Shangri-lá, Londrina - PR, 86070-545",,
62,GMAC Atacado da Construção - CD Londrina,(26),"R. Padre Anchieta, 123 - Vl Nova, Londrina - PR, 86025-590",(43) 3329-6307,
63,Depósito LondriNorte,(228),"Av. Lúcia Helena Gonçalves Viana, 423 - Jardim Italia, Londrina - PR, 86079-180",(43) 3356-3353,
64,Depósito Roseira - Construção e Acabamentos,(235),"Av. Europa, 962 - Jd Piza, Londrina - PR, 86041-000",(43) 3341-4222,
65,Depósito Brasil Sul,,"Av. Francisco Gabriel Arruda, 960 - Conj. Parigot de Souza 1, Londrina - PR, 86083-100",(43) 3254-1740,
68,DEPÓSITO BANDEIRANTES,(89),"Av. Arthur Thomas, 976 - Jardim Novo Sabara, Londrina - PR, 86063-460",,
69,DEPOSITO AMIGAO,(76),"Av. Saul Elkind, 5277 - Jardim Paraty, Londrina - PR, 86082-000",,
70,Deposito Saul Elkind,(2),"Rodovia Carlos João Strass, 4170 - Heimtal, Londrina - PR, 86084-460",,
71,COFERLON-Comercial de Ferragens Londrina,(7),"R. São Vicente, 1603 - Jardim Palmares, Londrina - PR, 86025-040",,
72,Depósito Casa Nova,(58),"Av. das Maritacas, 1715 - Indusville, Londrina - PR, 86031-070",,
73,DEPÓSITO ROMANI,(280),"Av. Dez de Dezembro, 7670 - JARDIM IGAPO, Londrina - PR, 86046-140",(43) 3341-5688,
